,name,rating,department,feedback,school
33,Kyoko Hijirida,3.6,Japanese,,University of Hawaii at Manoa
34,Linda Middleton,4.3,English,100%,University of Hawaii at Manoa
35,Miriam Sharma,2.5,Ethnic Studies,,University of Hawaii at Manoa
36,Lee Siegel,4.2,Religion,,University of Hawaii at Manoa
37,Chris Womersley,4.0,Zoology,72%,University of Hawaii at Manoa
38,Michael Speidel,3.5,History,,University of Hawaii at Manoa
39,Lynne Johnson,4.5,Music,,University of Hawaii at Manoa
40,Heather Kurano,4.9,Spanish,,University of Hawaii at Manoa
41,Robert Little,3.4,Mathematics,,University of Hawaii at Manoa
42,Tom Brislin,4.2,Media,,University of Hawaii at Manoa
43,Janice Smith,4.5,Chemistry,100%,University of Hawaii at Manoa
44,Frances Fujiwara,2.3,Chemistry,,University of Hawaii at Manoa
45,Judith Mills,4.2,Business,,University of Hawaii at Manoa
46,David Pager,2.1,Computer Science,,University of Hawaii at Manoa
47,Ben Bergen,3.5,Linguistics,,University of Hawaii at Manoa
48,Ralph Freese,4.1,Mathematics,100%,University of Hawaii at Manoa
49,John Head,3.6,Chemistry,100%,University of Hawaii at Manoa
50,Thomas Bopp,4.0,Chemistry,,University of Hawaii at Manoa
51,Chong Lee,1.7,Economics,,University of Hawaii at Manoa
52,Joan Peters,2.6,English,0%,University of Hawaii at Manoa
53,Stephen Canham,4.3,English,,University of Hawaii at Manoa
54,Morgan Blair,2.8,English,,University of Hawaii at Manoa
55,Ned Davis,3.7,History,0%,University of Hawaii at Manoa
56,Richard Rapson,4.6,History,100%,University of Hawaii at Manoa
57,James Marsh,2.0,Business,,University of Hawaii at Manoa
58,Amy Anderson,3.4,Architecture,,University of Hawaii at Manoa
59,Jack Sidener,4.0,Architecture,,University of Hawaii at Manoa
60,Pu Miao,2.8,Architecture,100%,University of Hawaii at Manoa
61,Paul Malley,4.7,Fine Arts,,University of Hawaii at Manoa
62,Haunani-Kay Trask,3.3,Ethnic Studies,,University of Hawaii at Manoa
63,Roger Ames,4.3,Philosophy,,University of Hawaii at Manoa
64,Vic Lankas,0.0,Journalism,,University of Hawaii at Manoa
65,Len Freed,3.1,Zoology,,University of Hawaii at Manoa
66,James Spencer,2.9,Political Science,,University of Hawaii at Manoa
67,John Cox,1.0,Management,,University of Hawaii at Manoa
68,Mark Wright,3.4,Science,100%,University of Hawaii at Manoa
69,Michael Dunn,4.8,Science,,University of Hawaii at Manoa
70,David Muenow,3.6,Chemistry,,University of Hawaii at Manoa
71,Peter Manicas,3.6,Sociology,,University of Hawaii at Manoa
72,Steven Goldsberry,4.3,English,100%,University of Hawaii at Manoa
73,Ron Brown,2.4,Mathematics,,University of Hawaii at Manoa
74,B.J. Wie,1.8,Management,,University of Hawaii at Manoa
75,Monisha Dasgupta,3.5,Ethnic Studies,67%,University of Hawaii at Manoa
76,Kitty Kamaka,4.9,Business,,University of Hawaii at Manoa
77,Keoki Farias,4.1,Hawaiian,,University of Hawaii at Manoa
78,I-Bei Lin,3.8,Music,,University of Hawaii at Manoa
79,Grant Okamura,4.3,Music,,University of Hawaii at Manoa
80,Henry Miyamura,4.1,Music,,University of Hawaii at Manoa
81,Leslie Wright,3.3,Music,,University of Hawaii at Manoa
82,Herbert Ziegler,4.2,History,,University of Hawaii at Manoa
83,James Brown,4.5,Russian,,University of Hawaii at Manoa
84,Lyn Dubbs,4.8,Nursing,,University of Hawaii at Manoa
85,Reginald Padilla,2.7,Music,,University of Hawaii at Manoa
86,Ming GE,1.0,Physics,,University of Hawaii at Manoa
87,Heather McMillen,1.8,Not Specified,,University of Hawaii at Manoa
88,Paul Hudson,4.5,Business,,University of Hawaii at Manoa
89,S Deburger,4.4,Political Science,,University of Hawaii at Manoa
90,Teresa Bill,3.5,Women's Studies,,University of Hawaii at Manoa
91,Robin Hadwick,4.5,Travel Industry,,University of Hawaii at Manoa
92,Subramanian Shankar,3.4,English,0%,University of Hawaii at Manoa
93,Betsy Fisher,4.5,Theater,0%,University of Hawaii at Manoa
94,Peggy Adams,4.2,Theater,,University of Hawaii at Manoa
95,Gregg Lizenbery,4.2,Theater,,University of Hawaii at Manoa
96,Judy Vanzile,3.5,Theater,0%,University of Hawaii at Manoa
97,Graham Parkes,3.3,Philosophy,,University of Hawaii at Manoa
98,Paul Patek,4.4,Biology,,University of Hawaii at Manoa
99,Mary Martini,3.5,Social Science,,University of Hawaii at Manoa
100,J. Edward Schell,4.0,Accounting,,University of Hawaii at Manoa
101,R. Kelly Aune,4.3,Speech,100%,University of Hawaii at Manoa
102,Jay Junker,4.3,Music,60%,University of Hawaii at Manoa
103,Yuko Otsuka,3.9,Linguistics,,University of Hawaii at Manoa
104,Jack Suyderhoud,3.4,Economics,,University of Hawaii at Manoa
105,Reg Worthley,4.7,Business,,University of Hawaii at Manoa
106,Chris Measures,4.4,Oceanography,100%,University of Hawaii at Manoa
107,Hugh Michael Hilden,3.1,Mathematics,,University of Hawaii at Manoa
108,Michael Tanaka,2.3,Finance,,University of Hawaii at Manoa
109,Dean Cost,4.7,Law,,University of Hawaii at Manoa
110,Kent Sakoda,5.0,Languages,100%,University of Hawaii at Manoa
111,Fred Roster,4.7,Fine Arts,,University of Hawaii at Manoa
112,Michelle Teng,4.7,Engineering,,University of Hawaii at Manoa
113,Robert Grace,4.0,Engineering,,University of Hawaii at Manoa
114,Theodore Gonzalves,3.4,American Studies,,University of Hawaii at Manoa
115,Fred Blake,3.6,Anthropology,100%,University of Hawaii at Manoa
116,Stephen Yeh,4.4,Sociology,,University of Hawaii at Manoa
117,Joyce Noe,2.0,Architecture,0%,University of Hawaii at Manoa
118,Jaishree Odin,2.8,English,0%,University of Hawaii at Manoa
119,Gary Pak,2.3,English,50%,University of Hawaii at Manoa
120,Michael Pometta,0.0,Geography,,University of Hawaii at Manoa
121,Ann Auman,4.3,Journalism,86%,University of Hawaii at Manoa
122,Les Wilson,3.3,Mathematics,,University of Hawaii at Manoa
123,Ruth Huard,4.3,Communication,,University of Hawaii at Manoa
124,Dennis Carroll,3.4,Theater,,University of Hawaii at Manoa
125,Wayne Smith,4.1,Mathematics,67%,University of Hawaii at Manoa
126,S. Ghon Rhee,2.7,Finance,50%,University of Hawaii at Manoa
127,Joel Weiner,2.0,Mathematics,,University of Hawaii at Manoa
128,James Nation,4.2,Mathematics,,University of Hawaii at Manoa
129,John Wendell,2.3,Accounting,,University of Hawaii at Manoa
130,Jim Roumasset,2.0,Economics,,University of Hawaii at Manoa
131,Min Min Thaw,3.2,Economics,,University of Hawaii at Manoa
132,Gary Kikuchi,3.2,Economics,,University of Hawaii at Manoa
133,Hunter McEwen,4.3,Education,,University of Hawaii at Manoa
134,James Mak,4.0,Economics,,University of Hawaii at Manoa
135,Richard Nettell,3.2,English,,University of Hawaii at Manoa
136,Lucy Lower,3.4,Japanese,,University of Hawaii at Manoa
137,Carol D'Angelo,4.0,Design,,University of Hawaii at Manoa
138,Theodore Yoo,4.6,History,,University of Hawaii at Manoa
139,Dineh Davis,1.9,Communication,,University of Hawaii at Manoa
140,Blanca Polo,4.5,Computer Science,,University of Hawaii at Manoa
141,Hanae Kurihara,4.7,Communication,,University of Hawaii at Manoa
142,Colin MacDonald,4.7,Communication,,University of Hawaii at Manoa
143,Gary Fontaine,5.0,Communication,,University of Hawaii at Manoa
144,Marc Moody,4.2,Communication,80%,University of Hawaii at Manoa
145,Lee Altenberg,4.0,Computer Science,88%,University of Hawaii at Manoa
146,Elizabeth Davidson,4.4,Information Science,100%,University of Hawaii at Manoa
147,Rebecca Cann,4.2,Biology,100%,University of Hawaii at Manoa
148,Carlos Andrade,3.1,Ethnic Studies,,University of Hawaii at Manoa
149,Rick Mills,4.3,Fine Arts,100%,University of Hawaii at Manoa
150,Ron Solis,3.8,Hawaiian,70%,University of Hawaii at Manoa
151,Joseph C Stanton,3.2,Art History,100%,University of Hawaii at Manoa
152,Christopher Allday,3.6,Mathematics,,University of Hawaii at Manoa
153,Julius Soria,4.5,Hawaiian,,University of Hawaii at Manoa
154,Atiqa Hachimi,5.0,Arabic,,University of Hawaii at Manoa
155,Rebecca Knuth,3.9,Information Science,,University of Hawaii at Manoa
156,Gordon Bruce,0.0,Information Science,,University of Hawaii at Manoa
157,David Bess,3.8,Business,100%,University of Hawaii at Manoa
158,Nick Logue,4.7,Theater,100%,University of Hawaii at Manoa
159,Katrina Oliveira,4.8,Geography,,University of Hawaii at Manoa
160,Sangki Kim,3.4,Languages & Linguistics,50%,University of Hawaii at Manoa
161,Bruce Uitto,1.0,Travel Industry,0%,University of Hawaii at Manoa
162,Helen Spafford,4.3,Science,100%,University of Hawaii at Manoa
163,Brent Sipes,0.0,Environmental Studies,,University of Hawaii at Manoa
164,Mickey Seems,0.0,English,,University of Hawaii at Manoa
165,Lee Endress,3.3,Economics,,University of Hawaii at Manoa
166,Paul Hogan,0.0,Psychology,,University of Hawaii at Manoa
167,Joannie Dobbs,2.1,Food Science,,University of Hawaii at Manoa
168,Jim Dator,3.9,Political Science,,University of Hawaii at Manoa
169,Manfred Henningsen,3.2,Political Science,67%,University of Hawaii at Manoa
170,Neal Milner,4.1,Political Science,,University of Hawaii at Manoa
171,John Wilson,3.0,Political Science,,University of Hawaii at Manoa
172,Masami Tsujita,4.1,Geography,,University of Hawaii at Manoa
173,Bruce Lindquist,4.5,Geography,,University of Hawaii at Manoa
174,Kekailoa Perry,3.6,Hawaiian Studies,20%,University of Hawaii at Manoa
175,Ana Zir,0.0,Public Health,,University of Hawaii at Manoa
176,Ron Bontekoe,2.6,Philosophy,50%,University of Hawaii at Manoa
177,Tung Bui,3.9,Business,,University of Hawaii at Manoa
178,George Eugene Darby,0.0,Business,,University of Hawaii at Manoa
179,Raymond Panko,2.6,Business,,University of Hawaii at Manoa
180,Lotus Elizabeth Kam,0.0,Business,,University of Hawaii at Manoa
181,Qianqiu Liu,3.2,Business,80%,University of Hawaii at Manoa
182,Sung-Ho Shin,3.2,Business,40%,University of Hawaii at Manoa
183,Kiyohiko Ito,4.1,Business,100%,University of Hawaii at Manoa
184,William Chismar,0.0,Business,,University of Hawaii at Manoa
185,Ralph Sprague,2.2,Business,,University of Hawaii at Manoa
186,Steven Robinow,3.6,Zoology,,University of Hawaii at Manoa
187,Gay Reed,4.9,Education,,University of Hawaii at Manoa
188,Brian Jarret,2.4,Sociology,,University of Hawaii at Manoa
189,Steven Tanaka,3.1,English,,University of Hawaii at Manoa
190,Tina P. Ling,2.8,Accounting,0%,University of Hawaii at Manoa
191,Qimei Chen,3.9,Marketing,100%,University of Hawaii at Manoa
192,Nobuko Ochner,4.3,Literature,,University of Hawaii at Manoa
193,Justin Ota,3.7,Japanese,,University of Hawaii at Manoa
194,Lorrie Wong,4.7,Nursing,,University of Hawaii at Manoa
195,Michelle Winn,0.0,English,,University of Hawaii at Manoa
196,Vrinda Dalmiya,3.9,Philosophy,100%,University of Hawaii at Manoa
197,Elton Daniel,4.0,History,,University of Hawaii at Manoa
198,Scott Groeniger,4.4,Digital Arts,100%,University of Hawaii at Manoa
199,Harry Ako,2.5,Biology,100%,University of Hawaii at Manoa
200,Iris Kimura,2.6,Kinesiology,,University of Hawaii at Manoa
201,David Stegenga,2.9,Mathematics,,University of Hawaii at Manoa
202,Georganne Nordstrom,4.8,English,100%,University of Hawaii at Manoa
203,Robert Bidigare,0.0,Science,,University of Hawaii at Manoa
204,Ricardo Trimillos,4.3,Ethnic Studies,,University of Hawaii at Manoa
205,Albert Robillard,4.8,Sociology,,University of Hawaii at Manoa
206,Noel Jordan,2.5,Psychology,,University of Hawaii at Manoa
207,Robert Onopa,4.4,English,,University of Hawaii at Manoa
208,John Rieder,3.9,English,,University of Hawaii at Manoa
209,Alan Titchenal,4.2,Nutrition,100%,University of Hawaii at Manoa
210,Tamara Ticktin,3.3,Biology,100%,University of Hawaii at Manoa
211,Thomas Hoover,3.3,Mathematics,,University of Hawaii at Manoa
212,Kristi Schaller,3.5,Speech,,University of Hawaii at Manoa
213,David Chappell,4.0,History,84%,University of Hawaii at Manoa
214,Maria Herrera Astua,4.3,English,,University of Hawaii at Manoa
215,Marie-Jose Fassiotto,4.2,French,,University of Hawaii at Manoa
216,Michael Kimmitt,4.6,Economics,,University of Hawaii at Manoa
217,Krisna Suryanata,3.5,Geography,50%,University of Hawaii at Manoa
218,Tia Ballantine,4.4,English,,University of Hawaii at Manoa
219,David Tholen,3.1,Physics,100%,University of Hawaii at Manoa
220,David Bangert,3.5,Management,,University of Hawaii at Manoa
221,Robert Doktor,4.0,Management,0%,University of Hawaii at Manoa
222,Hugh Folk,3.5,Management,,University of Hawaii at Manoa
223,James Richardson,3.3,Management,34%,University of Hawaii at Manoa
224,Robert Robinson,4.0,Management,,University of Hawaii at Manoa
225,Julian Bukalski,4.8,English,,University of Hawaii at Manoa
226,Elaine Heiby,3.2,Psychology,,University of Hawaii at Manoa
227,George Csordas,2.8,Mathematics,,University of Hawaii at Manoa
228,Kathy Phillips,3.6,English,,University of Hawaii at Manoa
229,Richard Lessa,4.0,English,,University of Hawaii at Manoa
230,Song Jiang,3.7,Chinese,0%,University of Hawaii at Manoa
231,Robert Joseph,4.4,Astronomy,,University of Hawaii at Manoa
232,Leonard Andaya,3.5,History,100%,University of Hawaii at Manoa
233,Eric Dodson,4.4,Physics,,University of Hawaii at Manoa
234,Robert Hatanaka,2.7,Accounting,,University of Hawaii at Manoa
235,John Charlot,4.1,Religion,,University of Hawaii at Manoa
236,Frederick Lau,4.7,Music,100%,University of Hawaii at Manoa
237,David Stannard,4.6,American Studies,100%,University of Hawaii at Manoa
238,Mari Yoshihara,3.8,American Studies,100%,University of Hawaii at Manoa
239,Malia Kaaihue,4.7,Ethnic Studies,,University of Hawaii at Manoa
240,Noenoe Silva,4.4,Political Science,100%,University of Hawaii at Manoa
241,Ross Sutherland,4.5,Geography,,University of Hawaii at Manoa
242,Christine Yano,4.0,Anthropology,75%,University of Hawaii at Manoa
243,Vail Matsumoto,4.9,Education,,University of Hawaii at Manoa
244,Wallace Napier,4.4,Education,,University of Hawaii at Manoa
245,Balinbin Rosela,4.8,Education,100%,University of Hawaii at Manoa
246,Petrice Flowers,2.4,Political Science,0%,University of Hawaii at Manoa
247,Fenny Cox,2.2,Biology,,University of Hawaii at Manoa
248,Yida Wang,4.1,Fine Arts,,University of Hawaii at Manoa
249,Roman Druker,4.4,French,,University of Hawaii at Manoa
250,Mary Tiles,2.0,Philosophy,100%,University of Hawaii at Manoa
251,Matt McGranaghan,3.2,Geography,,University of Hawaii at Manoa
252,Brent Tully,2.3,Science,,University of Hawaii at Manoa
253,Andrew Arno,3.3,Anthropology,,University of Hawaii at Manoa
254,Heather Amick-Paulino,4.1,Spanish,,University of Hawaii at Manoa
255,Karl Minke,3.1,Psychology,,University of Hawaii at Manoa
256,David Falgout,4.2,Religion,75%,University of Hawaii at Manoa
257,Sterling Keeley,3.4,Botany,,University of Hawaii at Manoa
258,Jim Caron,4.2,Writing,,University of Hawaii at Manoa
259,Fred Harris,2.9,Physics,,University of Hawaii at Manoa
260,Chef Leslie,2.5,Hospitality,50%,University of Hawaii at Manoa
261,Judith Kellogg,4.8,English,,University of Hawaii at Manoa
262,Candace Fujikane,4.6,English,100%,University of Hawaii at Manoa
263,Kuhio Vogeler,4.5,Political Science,,University of Hawaii at Manoa
264,Hildre Herrera,4.8,Spanish,100%,University of Hawaii at Manoa
265,Tom Craven,2.6,Mathematics,,University of Hawaii at Manoa
266,Markus Wessendorf,2.6,Theater,100%,University of Hawaii at Manoa
267,Chip Hughes,4.0,English,,University of Hawaii at Manoa
268,Poul Andersen,2.3,Religion,,University of Hawaii at Manoa
269,Stan Egi,4.0,Theater,,University of Hawaii at Manoa
270,Luke Alapaki,4.6,Hawaiian Studies,,University of Hawaii at Manoa
271,Diane Letoto,3.8,Women's Studies,,University of Hawaii at Manoa
272,Lee Sang-Hyop,2.5,Economics,0%,University of Hawaii at Manoa
273,Paul Coleman,4.3,Astronomy,100%,University of Hawaii at Manoa
274,Angela Price,2.4,Theater,,University of Hawaii at Manoa
275,Yeoun Varley,4.4,Political Science,,University of Hawaii at Manoa
276,Susan Hirate,2.7,Japanese,0%,University of Hawaii at Manoa
277,Dennis T Ogawa,4.3,Japanese,100%,University of Hawaii at Manoa
278,Nancy Cooper,2.2,Anthropology,43%,University of Hawaii at Manoa
279,Rodney Morales,4.4,English,100%,University of Hawaii at Manoa
280,Amy Takahashi,4.1,Accounting,,University of Hawaii at Manoa
281,Karen Hastings,2.8,Food Science,,University of Hawaii at Manoa
282,Termdham Sitthilert,2.5,Economics,,University of Hawaii at Manoa
283,Cheryl Matsumoto,1.8,Accounting,,University of Hawaii at Manoa
284,Steve Curry,3.3,English,,University of Hawaii at Manoa
285,Paul Lyons,4.5,English,100%,University of Hawaii at Manoa
286,Mike Mottl,4.4,Geology,100%,University of Hawaii at Manoa
287,Grieg Steward,4.8,Oceanography,100%,University of Hawaii at Manoa
288,Andrew Pick,5.0,Linguistics,100%,University of Hawaii at Manoa
289,Chantell Balaan,4.0,Zoology,100%,University of Hawaii at Manoa
290,Tristan Holmes,3.8,Mathematics,70%,University of Hawaii at Manoa
291,Sayed Bateni,3.3,Engineering,50%,University of Hawaii at Manoa
292,Sladjana Prisic,4.7,Microbiology,100%,University of Hawaii at Manoa
293,Heather Zezeck,3.3,Psychology,67%,University of Hawaii at Manoa
294,Kim Corbin,5.0,Education,100%,University of Hawaii at Manoa
295,Makena Coffman,2.6,Economics,,University of Hawaii at Manoa
296,Noelani Dabis-Tom,5.0,Hawaiian Studies,,University of Hawaii at Manoa
297,Thomas Hemscheidt,3.6,Chemistry,55%,University of Hawaii at Manoa
298,Nancy Dowling,2.7,Art History,,University of Hawaii at Manoa
299,Nathan Chang,5.0,Social Work,,University of Hawaii at Manoa
300,Eric Harwit,3.8,Asian Studies,100%,University of Hawaii at Manoa
301,Herbert Barringer,2.9,Sociology,,University of Hawaii at Manoa
302,David Yun,1.7,Engineering,,University of Hawaii at Manoa
303,Kahikina De Silva,4.9,Hawaiian,100%,University of Hawaii at Manoa
304,Claire Hitosugi,3.5,Japanese,38%,University of Hawaii at Manoa
305,Hiromi Kelley - Uchida,4.8,Japanese,,University of Hawaii at Manoa
306,Hsin-Yi Hsieh,2.5,Chinese,100%,University of Hawaii at Manoa
307,Mooweon Rhee,4.3,Business,,University of Hawaii at Manoa
308,Bryan Davis,0.0,Business,,University of Hawaii at Manoa
309,Jose Fragoso,1.3,Biology,,University of Hawaii at Manoa
310,Thomas Gaarder,3.8,Engineering,,University of Hawaii at Manoa
311,Neil Gowensmith,5.0,Psychology,,University of Hawaii at Manoa
312,Galen Sasaki,3.6,Engineering,72%,University of Hawaii at Manoa
313,Frank Sheriff,4.7,Fine Arts,,University of Hawaii at Manoa
314,Joe O'Mealy,4.6,English,,University of Hawaii at Manoa
315,Lorenzo Rinelli,3.6,Political Science,100%,University of Hawaii at Manoa
316,Marc Fossorier,0.0,Engineering,,University of Hawaii at Manoa
317,Jim Tiles,3.0,Philosophy,,University of Hawaii at Manoa
318,Robert McHenry,4.0,English,,University of Hawaii at Manoa
319,Kakuko Shoji,4.9,Japanese,,University of Hawaii at Manoa
320,Brent Buckley,4.0,Science,,University of Hawaii at Manoa
321,Douglas Vincent,4.8,Agriculture,,University of Hawaii at Manoa
322,Fabio Bresolin,3.6,Astronomy,,University of Hawaii at Manoa
323,Lloyd Hamasaki,5.0,Classics,100%,University of Hawaii at Manoa
324,Peter Nicholson,4.3,English,100%,University of Hawaii at Manoa
325,Donald Dugal,2.8,Fine Arts,,University of Hawaii at Manoa
326,Jurgen Sang,3.9,German,,University of Hawaii at Manoa
327,Doug Margolis,0.0,Languages,,University of Hawaii at Manoa
328,Ronald Hetzler,4.7,Health Science,,University of Hawaii at Manoa
329,Cindy Hunter,3.9,Biology,75%,University of Hawaii at Manoa
330,Duncan Demster,3.5,Art,100%,University of Hawaii at Manoa
331,Amy Healey,4.6,French,,University of Hawaii at Manoa
332,Patricia Alverez,4.5,History,,University of Hawaii at Manoa
333,Jinguang Andrew Zhang,4.5,Communicology,84%,University of Hawaii at Manoa
334,Kevin Kawamoto,4.9,Journalism,100%,University of Hawaii at Manoa
335,Matthew Lorentz,4.4,Mathematics,89%,University of Hawaii at Manoa
336,Hannah El-Silimy,0.0,Political Science,,University of Hawaii at Manoa
337,Philip Johnson,3.6,Computer Science,63%,University of Hawaii at Manoa
338,Jesus Negrete,3.0,Physics,0%,University of Hawaii at Manoa
339,Maria Simon,2.7,Architecture,50%,University of Hawaii at Manoa
340,Cynthia Franklin,4.1,English,50%,University of Hawaii at Manoa
341,Anders Daniels,3.8,Science,,University of Hawaii at Manoa
342,Tom Schroeder,3.4,Science,,University of Hawaii at Manoa
343,Mirella Vasquez-Brooks,5.0,Nursing,,University of Hawaii at Manoa
344,Wesley Riley,4.0,Biology,,University of Hawaii at Manoa
345,Heather Diamond,4.0,English,,University of Hawaii at Manoa
346,Keiko Shinozuka,5.0,Languages,,University of Hawaii at Manoa
347,Mariko Inoue,5.0,Art History,,University of Hawaii at Manoa
348,Karen Tessier,4.1,Nursing,88%,University of Hawaii at Manoa
349,Anna Feuerstein,4.3,English,75%,University of Hawaii at Manoa
350,Jeffrey Orig,5.0,Communication,100%,University of Hawaii at Manoa
351,Ariel Chardon,5.0,Spanish,100%,University of Hawaii at Manoa
352,Michael Miller,3.0,Communicology,50%,University of Hawaii at Manoa
353,Janitha Aswedige,3.0,Mathematics,50%,University of Hawaii at Manoa
354,Cindy Murillo,5.0,Spanish,100%,University of Hawaii at Manoa
355,Christopher Winfield,1.5,Mathematics,0%,University of Hawaii at Manoa
356,Baldo Patterson,3.7,Peace & Conflict Studies,50%,University of Hawaii at Manoa
357,David Penn,3.9,Geography,,University of Hawaii at Manoa
358,Louise Lo,4.4,Business,72%,University of Hawaii at Manoa
359,Stephen Meder,3.3,Architecture,50%,University of Hawaii at Manoa
360,Pearl Imada,0.0,Economics,,University of Hawaii at Manoa
361,Pat Henry,0.0,Science,,University of Hawaii at Manoa
362,Meda Chesney-Lind,3.9,Women's Studies,50%,University of Hawaii at Manoa
363,Amy Hubbard,4.4,Communicology,0%,University of Hawaii at Manoa
364,Ruth Mabanglo,1.3,Languages,,University of Hawaii at Manoa
365,Mike Hunt,5.0,Health Science,,University of Hawaii at Manoa
366,Susan Hippensteele,4.1,Women's Studies,100%,University of Hawaii at Manoa
367,Julia Kwan,2.5,Chinese,,University of Hawaii at Manoa
368,Thomas Klobe,5.0,Art History,,University of Hawaii at Manoa
369,Lewis Andrews,3.0,Art History,0%,University of Hawaii at Manoa
370,Kim Thu Ton,4.5,Languages,,University of Hawaii at Manoa
371,Dominique Mansilla Hermann,3.2,Spanish,,University of Hawaii at Manoa
372,Allison Sherwood,3.4,Biology,,University of Hawaii at Manoa
373,Tamara L. Pavich,4.2,English,,University of Hawaii at Manoa
374,John Reardon,2.1,Business,100%,University of Hawaii at Manoa
375,Peng Xu,0.0,Theatre & Dance,,University of Hawaii at Manoa
376,Milomir Ognjanovic,4.2,Business,75%,University of Hawaii at Manoa
377,Matthew Kanekoa,4.1,Communication,78%,University of Hawaii at Manoa
378,Ben Bystrom,4.3,Business,100%,University of Hawaii at Manoa
379,Rachel Neo,3.0,Communication,50%,University of Hawaii at Manoa
380,Pratistha Gyawali,1.0,Economics,0%,University of Hawaii at Manoa
381,Anna Jeong,3.8,Accounting,60%,University of Hawaii at Manoa
382,Baoyan Cheng,4.1,Education,100%,University of Hawaii at Manoa
383,aja wells,2.2,Spanish,34%,University of Hawaii at Manoa
384,Fox Bonnie,5.0,Korean,100%,University of Hawaii at Manoa
385,David Haymer,5.0,Biology,93%,University of Hawaii at Manoa
386,Karen Kosasa,4.3,American Studies,75%,University of Hawaii at Manoa
387,Min-Sun Kim,2.8,Speech,50%,University of Hawaii at Manoa
388,Margeaux Ciraolo,3.0,Psychology,50%,University of Hawaii at Manoa
389,Mara Miller,2.6,East Asian Lang. & Literature,50%,University of Hawaii at Manoa
390,Amy Donahue,4.8,Philosophy,,University of Hawaii at Manoa
391,Anne Misawa,3.9,Film,100%,University of Hawaii at Manoa
392,Elaine Hatfield,4.4,Psychology,100%,University of Hawaii at Manoa
393,Bed Paudyal,3.8,English,0%,University of Hawaii at Manoa
394,Gladys Nakahara,3.1,East Asian Studies,0%,University of Hawaii at Manoa
395,Victoria Anderson,4.8,Languages,100%,University of Hawaii at Manoa
396,Cassian Kimhan,2.9,Psychology,,University of Hawaii at Manoa
397,Yun Chu,4.6,Psychology,,University of Hawaii at Manoa
398,Frank Ardolino,3.9,English,,University of Hawaii at Manoa
399,Michael Sprunger,4.0,History,,University of Hawaii at Manoa
400,Saili Lilo-Maiava,4.0,Geography,,University of Hawaii at Manoa
401,Kim Shima,3.4,Accounting,,University of Hawaii at Manoa
402,Deborah Waite,3.1,Art History,100%,University of Hawaii at Manoa
403,Joe Niemczura,4.4,Nursing,100%,University of Hawaii at Manoa
404,Brien Hallett,3.9,Sociology,84%,University of Hawaii at Manoa
405,Gary Barnes,4.5,Meteorology,,University of Hawaii at Manoa
406,Tomoaki Miura,4.3,Science,100%,University of Hawaii at Manoa
407,Ted Yao,3.9,Languages,,University of Hawaii at Manoa
408,Weilin Qu,2.7,Engineering,75%,University of Hawaii at Manoa
409,Michiko Fukasawa,5.0,Japanese,100%,University of Hawaii at Manoa
410,Heather Saito,3.8,Oceanography,100%,University of Hawaii at Manoa
