,name,rating,department,feedback,school
30,Catherine Toth,QUALITY5.05 ratings,Journalism,N/A,University of Hawaii at Manoa
31,Rob Vaughan,QUALITY4.910 ratings,Social Science,N/A,University of Hawaii at Manoa
32,Jack Bilmes,QUALITY3.541 ratings,Anthropology,100%,University of Hawaii at Manoa
33,Kyoko Hijirida,QUALITY3.67 ratings,Japanese,N/A,University of Hawaii at Manoa
34,Linda Middleton,QUALITY4.328 ratings,English,100%,University of Hawaii at Manoa
35,Miriam Sharma,QUALITY2.514 ratings,Ethnic Studies,N/A,University of Hawaii at Manoa
36,Lee Siegel,QUALITY4.2102 ratings,Religion,N/A,University of Hawaii at Manoa
37,Chris Womersley,QUALITY4.050 ratings,Zoology,72%,University of Hawaii at Manoa
38,Michael Speidel,QUALITY3.521 ratings,History,N/A,University of Hawaii at Manoa
39,Lynne Johnson,QUALITY4.511 ratings,Music,N/A,University of Hawaii at Manoa
40,Heather Kurano,QUALITY4.930 ratings,Spanish,N/A,University of Hawaii at Manoa
41,Robert Little,QUALITY3.435 ratings,Mathematics,N/A,University of Hawaii at Manoa
42,Tom Brislin,QUALITY4.216 ratings,Media,N/A,University of Hawaii at Manoa
43,Janice Smith,QUALITY4.567 ratings,Chemistry,100%,University of Hawaii at Manoa
44,Frances Fujiwara,QUALITY2.376 ratings,Chemistry,N/A,University of Hawaii at Manoa
45,Judith Mills,QUALITY4.266 ratings,Business,N/A,University of Hawaii at Manoa
46,David Pager,QUALITY2.18 ratings,Computer Science,N/A,University of Hawaii at Manoa
47,Ben Bergen,QUALITY3.54 ratings,Linguistics,N/A,University of Hawaii at Manoa
48,Ralph Freese,QUALITY4.127 ratings,Mathematics,100%,University of Hawaii at Manoa
49,John Head,QUALITY3.610 ratings,Chemistry,100%,University of Hawaii at Manoa
50,Thomas Bopp,QUALITY4.019 ratings,Chemistry,N/A,University of Hawaii at Manoa
51,Chong Lee,QUALITY1.715 ratings,Economics,N/A,University of Hawaii at Manoa
52,Joan Peters,QUALITY2.634 ratings,English,0%,University of Hawaii at Manoa
53,Stephen Canham,QUALITY4.332 ratings,English,N/A,University of Hawaii at Manoa
54,Morgan Blair,QUALITY2.821 ratings,English,N/A,University of Hawaii at Manoa
55,Ned Davis,QUALITY3.715 ratings,History,0%,University of Hawaii at Manoa
56,Richard Rapson,QUALITY4.624 ratings,History,100%,University of Hawaii at Manoa
57,James Marsh,QUALITY2.031 ratings,Business,N/A,University of Hawaii at Manoa
58,Amy Anderson,QUALITY3.417 ratings,Architecture,N/A,University of Hawaii at Manoa
59,Jack Sidener,QUALITY4.04 ratings,Architecture,N/A,University of Hawaii at Manoa
60,Pu Miao,QUALITY2.812 ratings,Architecture,100%,University of Hawaii at Manoa
61,Paul Malley,QUALITY4.73 ratings,Fine Arts,N/A,University of Hawaii at Manoa
62,Haunani-Kay Trask,QUALITY3.322 ratings,Ethnic Studies,N/A,University of Hawaii at Manoa
63,Roger Ames,QUALITY4.322 ratings,Philosophy,N/A,University of Hawaii at Manoa
64,Vic Lankas,QUALITY0.00 ratings,Journalism,N/A,University of Hawaii at Manoa
65,Len Freed,QUALITY3.122 ratings,Zoology,N/A,University of Hawaii at Manoa
66,James Spencer,QUALITY2.911 ratings,Political Science,N/A,University of Hawaii at Manoa
67,John Cox,QUALITY1.01 ratings,Management,N/A,University of Hawaii at Manoa
68,Mark Wright,QUALITY3.46 ratings,Science,100%,University of Hawaii at Manoa
69,Michael Dunn,QUALITY4.82 ratings,Science,N/A,University of Hawaii at Manoa
70,David Muenow,QUALITY3.616 ratings,Chemistry,N/A,University of Hawaii at Manoa
71,Peter Manicas,QUALITY3.613 ratings,Sociology,N/A,University of Hawaii at Manoa
72,Steven Goldsberry,QUALITY4.335 ratings,English,100%,University of Hawaii at Manoa
73,Ron Brown,QUALITY2.422 ratings,Mathematics,N/A,University of Hawaii at Manoa
74,B.J. Wie,QUALITY1.85 ratings,Management,N/A,University of Hawaii at Manoa
75,Monisha Dasgupta,QUALITY3.530 ratings,Ethnic Studies,67%,University of Hawaii at Manoa
76,Kitty Kamaka,QUALITY4.94 ratings,Business,N/A,University of Hawaii at Manoa
77,Keoki Farias,QUALITY4.114 ratings,Hawaiian,N/A,University of Hawaii at Manoa
78,I-Bei Lin,QUALITY3.817 ratings,Music,N/A,University of Hawaii at Manoa
79,Grant Okamura,QUALITY4.311 ratings,Music,N/A,University of Hawaii at Manoa
80,Henry Miyamura,QUALITY4.110 ratings,Music,N/A,University of Hawaii at Manoa
81,Leslie Wright,QUALITY3.310 ratings,Music,N/A,University of Hawaii at Manoa
82,Herbert Ziegler,QUALITY4.249 ratings,History,N/A,University of Hawaii at Manoa
83,James Brown,QUALITY4.514 ratings,Russian,N/A,University of Hawaii at Manoa
84,Lyn Dubbs,QUALITY4.82 ratings,Nursing,N/A,University of Hawaii at Manoa
85,Reginald Padilla,QUALITY2.710 ratings,Music,N/A,University of Hawaii at Manoa
86,Ming GE,QUALITY1.02 ratings,Physics,N/A,University of Hawaii at Manoa
87,Heather McMillen,QUALITY1.82 ratings,Not Specified,N/A,University of Hawaii at Manoa
88,Paul Hudson,QUALITY4.51 ratings,Business,N/A,University of Hawaii at Manoa
89,S Deburger,QUALITY4.44 ratings,Political Science,N/A,University of Hawaii at Manoa
90,Teresa Bill,QUALITY3.51 ratings,Women's Studies,N/A,University of Hawaii at Manoa
91,Robin Hadwick,QUALITY4.51 ratings,Travel Industry,N/A,University of Hawaii at Manoa
92,Subramanian Shankar,QUALITY3.422 ratings,English,0%,University of Hawaii at Manoa
93,Betsy Fisher,QUALITY4.59 ratings,Theater,0%,University of Hawaii at Manoa
94,Peggy Adams,QUALITY4.28 ratings,Theater,N/A,University of Hawaii at Manoa
95,Gregg Lizenbery,QUALITY4.27 ratings,Theater,N/A,University of Hawaii at Manoa
96,Judy Vanzile,QUALITY3.54 ratings,Theater,0%,University of Hawaii at Manoa
97,Graham Parkes,QUALITY3.320 ratings,Philosophy,N/A,University of Hawaii at Manoa
98,Paul Patek,QUALITY4.415 ratings,Biology,N/A,University of Hawaii at Manoa
99,Mary Martini,QUALITY3.59 ratings,Social Science,N/A,University of Hawaii at Manoa
100,J. Edward Schell,QUALITY4.020 ratings,Accounting,N/A,University of Hawaii at Manoa
101,R. Kelly Aune,QUALITY4.315 ratings,Speech,100%,University of Hawaii at Manoa
102,Jay Junker,QUALITY4.319 ratings,Music,60%,University of Hawaii at Manoa
103,Yuko Otsuka,QUALITY3.98 ratings,Linguistics,N/A,University of Hawaii at Manoa
104,Jack Suyderhoud,QUALITY3.432 ratings,Economics,N/A,University of Hawaii at Manoa
105,Reg Worthley,QUALITY4.739 ratings,Business,N/A,University of Hawaii at Manoa
106,Chris Measures,QUALITY4.422 ratings,Oceanography,100%,University of Hawaii at Manoa
107,Hugh Michael Hilden,QUALITY3.141 ratings,Mathematics,N/A,University of Hawaii at Manoa
108,Michael Tanaka,QUALITY2.320 ratings,Finance,N/A,University of Hawaii at Manoa
109,Dean Cost,QUALITY4.784 ratings,Law,N/A,University of Hawaii at Manoa
110,Kent Sakoda,QUALITY5.012 ratings,Languages,100%,University of Hawaii at Manoa
111,Fred Roster,QUALITY4.720 ratings,Fine Arts,N/A,University of Hawaii at Manoa
112,Michelle Teng,QUALITY4.723 ratings,Engineering,N/A,University of Hawaii at Manoa
113,Robert Grace,QUALITY4.030 ratings,Engineering,N/A,University of Hawaii at Manoa
114,Theodore Gonzalves,QUALITY3.410 ratings,American Studies,N/A,University of Hawaii at Manoa
115,Fred Blake,QUALITY3.627 ratings,Anthropology,100%,University of Hawaii at Manoa
116,Stephen Yeh,QUALITY4.427 ratings,Sociology,N/A,University of Hawaii at Manoa
117,Joyce Noe,QUALITY2.09 ratings,Architecture,0%,University of Hawaii at Manoa
118,Jaishree Odin,QUALITY2.88 ratings,English,0%,University of Hawaii at Manoa
119,Gary Pak,QUALITY2.322 ratings,English,50%,University of Hawaii at Manoa
120,Michael Pometta,QUALITY0.00 ratings,Geography,N/A,University of Hawaii at Manoa
121,Ann Auman,QUALITY4.313 ratings,Journalism,86%,University of Hawaii at Manoa
122,Les Wilson,QUALITY3.325 ratings,Mathematics,N/A,University of Hawaii at Manoa
123,Ruth Huard,QUALITY4.318 ratings,Communication,N/A,University of Hawaii at Manoa
124,Dennis Carroll,QUALITY3.48 ratings,Theater,N/A,University of Hawaii at Manoa
125,Wayne Smith,QUALITY4.124 ratings,Mathematics,67%,University of Hawaii at Manoa
126,S. Ghon Rhee,QUALITY2.711 ratings,Finance,50%,University of Hawaii at Manoa
127,Joel Weiner,QUALITY2.042 ratings,Mathematics,N/A,University of Hawaii at Manoa
128,James Nation,QUALITY4.226 ratings,Mathematics,N/A,University of Hawaii at Manoa
129,John Wendell,QUALITY2.323 ratings,Accounting,N/A,University of Hawaii at Manoa
130,Jim Roumasset,QUALITY2.011 ratings,Economics,N/A,University of Hawaii at Manoa
131,Min Min Thaw,QUALITY3.215 ratings,Economics,N/A,University of Hawaii at Manoa
132,Gary Kikuchi,QUALITY3.282 ratings,Economics,N/A,University of Hawaii at Manoa
133,Hunter McEwen,QUALITY4.36 ratings,Education,N/A,University of Hawaii at Manoa
134,James Mak,QUALITY4.014 ratings,Economics,N/A,University of Hawaii at Manoa
135,Richard Nettell,QUALITY3.226 ratings,English,N/A,University of Hawaii at Manoa
136,Lucy Lower,QUALITY3.45 ratings,Japanese,N/A,University of Hawaii at Manoa
137,Carol D'Angelo,QUALITY4.04 ratings,Design,N/A,University of Hawaii at Manoa
138,Theodore Yoo,QUALITY4.629 ratings,History,N/A,University of Hawaii at Manoa
139,Dineh Davis,QUALITY1.914 ratings,Communication,N/A,University of Hawaii at Manoa
140,Blanca Polo,QUALITY4.57 ratings,Computer Science,N/A,University of Hawaii at Manoa
141,Hanae Kurihara,QUALITY4.713 ratings,Communication,N/A,University of Hawaii at Manoa
142,Colin MacDonald,QUALITY4.79 ratings,Communication,N/A,University of Hawaii at Manoa
143,Gary Fontaine,QUALITY5.05 ratings,Communication,N/A,University of Hawaii at Manoa
144,Marc Moody,QUALITY4.234 ratings,Communication,80%,University of Hawaii at Manoa
145,Lee Altenberg,QUALITY4.016 ratings,Computer Science,88%,University of Hawaii at Manoa
146,Elizabeth Davidson,QUALITY4.47 ratings,Information Science,100%,University of Hawaii at Manoa
147,Rebecca Cann,QUALITY4.29 ratings,Biology,100%,University of Hawaii at Manoa
148,Carlos Andrade,QUALITY3.16 ratings,Ethnic Studies,N/A,University of Hawaii at Manoa
149,Rick Mills,QUALITY4.35 ratings,Fine Arts,100%,University of Hawaii at Manoa
150,Ron Solis,QUALITY3.827 ratings,Hawaiian,70%,University of Hawaii at Manoa
151,Joseph C Stanton,QUALITY3.215 ratings,Art History,100%,University of Hawaii at Manoa
152,Christopher Allday,QUALITY3.628 ratings,Mathematics,N/A,University of Hawaii at Manoa
153,Julius Soria,QUALITY4.519 ratings,Hawaiian,N/A,University of Hawaii at Manoa
154,Atiqa Hachimi,QUALITY5.06 ratings,Arabic,N/A,University of Hawaii at Manoa
155,Rebecca Knuth,QUALITY3.95 ratings,Information Science,N/A,University of Hawaii at Manoa
156,Gordon Bruce,QUALITY0.00 ratings,Information Science,N/A,University of Hawaii at Manoa
157,David Bess,QUALITY3.825 ratings,Business,100%,University of Hawaii at Manoa
158,Nick Logue,QUALITY4.710 ratings,Theater,100%,University of Hawaii at Manoa
159,Katrina Oliveira,QUALITY4.85 ratings,Geography,N/A,University of Hawaii at Manoa
160,Sangki Kim,QUALITY3.45 ratings,Languages & Linguistics,50%,University of Hawaii at Manoa
161,Bruce Uitto,QUALITY1.02 ratings,Travel Industry,0%,University of Hawaii at Manoa
162,Helen Spafford,QUALITY4.313 ratings,Science,100%,University of Hawaii at Manoa
163,Brent Sipes,QUALITY0.00 ratings,Environmental Studies,N/A,University of Hawaii at Manoa
164,Mickey Seems,QUALITY0.00 ratings,English,N/A,University of Hawaii at Manoa
165,Lee Endress,QUALITY3.310 ratings,Economics,N/A,University of Hawaii at Manoa
166,Paul Hogan,QUALITY0.00 ratings,Psychology,N/A,University of Hawaii at Manoa
167,Joannie Dobbs,QUALITY2.119 ratings,Food Science,N/A,University of Hawaii at Manoa
168,Jim Dator,QUALITY3.918 ratings,Political Science,N/A,University of Hawaii at Manoa
169,Manfred Henningsen,QUALITY3.225 ratings,Political Science,67%,University of Hawaii at Manoa
170,Neal Milner,QUALITY4.112 ratings,Political Science,N/A,University of Hawaii at Manoa
171,John Wilson,QUALITY3.018 ratings,Political Science,N/A,University of Hawaii at Manoa
172,Masami Tsujita,QUALITY4.18 ratings,Geography,N/A,University of Hawaii at Manoa
173,Bruce Lindquist,QUALITY4.54 ratings,Geography,N/A,University of Hawaii at Manoa
174,Kekailoa Perry,QUALITY3.625 ratings,Hawaiian Studies,20%,University of Hawaii at Manoa
175,Ana Zir,QUALITY0.00 ratings,Public Health,N/A,University of Hawaii at Manoa
176,Ron Bontekoe,QUALITY2.641 ratings,Philosophy,50%,University of Hawaii at Manoa
177,Tung Bui,QUALITY3.95 ratings,Business,N/A,University of Hawaii at Manoa
178,George Eugene Darby,QUALITY0.00 ratings,Business,N/A,University of Hawaii at Manoa
179,Raymond Panko,QUALITY2.625 ratings,Business,N/A,University of Hawaii at Manoa
180,Lotus Elizabeth Kam,QUALITY0.00 ratings,Business,N/A,University of Hawaii at Manoa
181,Qianqiu Liu,QUALITY3.219 ratings,Business,80%,University of Hawaii at Manoa
182,Sung-Ho Shin,QUALITY3.249 ratings,Business,40%,University of Hawaii at Manoa
183,Kiyohiko Ito,QUALITY4.111 ratings,Business,100%,University of Hawaii at Manoa
184,William Chismar,QUALITY0.00 ratings,Business,N/A,University of Hawaii at Manoa
185,Ralph Sprague,QUALITY2.29 ratings,Business,N/A,University of Hawaii at Manoa
186,Steven Robinow,QUALITY3.634 ratings,Zoology,N/A,University of Hawaii at Manoa
187,Gay Reed,QUALITY4.97 ratings,Education,N/A,University of Hawaii at Manoa
188,Brian Jarret,QUALITY2.45 ratings,Sociology,N/A,University of Hawaii at Manoa
189,Steven Tanaka,QUALITY3.121 ratings,English,N/A,University of Hawaii at Manoa
190,Tina P. Ling,QUALITY2.818 ratings,Accounting,0%,University of Hawaii at Manoa
191,Qimei Chen,QUALITY3.925 ratings,Marketing,100%,University of Hawaii at Manoa
192,Nobuko Ochner,QUALITY4.38 ratings,Literature,N/A,University of Hawaii at Manoa
193,Justin Ota,QUALITY3.714 ratings,Japanese,N/A,University of Hawaii at Manoa
194,Lorrie Wong,QUALITY4.715 ratings,Nursing,N/A,University of Hawaii at Manoa
195,Michelle Winn,QUALITY0.00 ratings,English,N/A,University of Hawaii at Manoa
196,Vrinda Dalmiya,QUALITY3.913 ratings,Philosophy,100%,University of Hawaii at Manoa
197,Elton Daniel,QUALITY4.05 ratings,History,N/A,University of Hawaii at Manoa
198,Scott Groeniger,QUALITY4.410 ratings,Digital Arts,100%,University of Hawaii at Manoa
199,Harry Ako,QUALITY2.520 ratings,Biology,100%,University of Hawaii at Manoa
200,Iris Kimura,QUALITY2.67 ratings,Kinesiology,N/A,University of Hawaii at Manoa
201,David Stegenga,QUALITY2.916 ratings,Mathematics,N/A,University of Hawaii at Manoa
202,Georganne Nordstrom,QUALITY4.825 ratings,English,100%,University of Hawaii at Manoa
203,Robert Bidigare,QUALITY0.00 ratings,Science,N/A,University of Hawaii at Manoa
204,Ricardo Trimillos,QUALITY4.35 ratings,Ethnic Studies,N/A,University of Hawaii at Manoa
205,Albert Robillard,QUALITY4.82 ratings,Sociology,N/A,University of Hawaii at Manoa
206,Noel Jordan,QUALITY2.58 ratings,Psychology,N/A,University of Hawaii at Manoa
207,Robert Onopa,QUALITY4.412 ratings,English,N/A,University of Hawaii at Manoa
208,John Rieder,QUALITY3.920 ratings,English,N/A,University of Hawaii at Manoa
209,Alan Titchenal,QUALITY4.222 ratings,Nutrition,100%,University of Hawaii at Manoa
210,Tamara Ticktin,QUALITY3.312 ratings,Biology,100%,University of Hawaii at Manoa
211,Thomas Hoover,QUALITY3.314 ratings,Mathematics,N/A,University of Hawaii at Manoa
212,Kristi Schaller,QUALITY3.511 ratings,Speech,N/A,University of Hawaii at Manoa
213,David Chappell,QUALITY4.042 ratings,History,84%,University of Hawaii at Manoa
214,Maria Herrera Astua,QUALITY4.37 ratings,English,N/A,University of Hawaii at Manoa
215,Marie-Jose Fassiotto,QUALITY4.210 ratings,French,N/A,University of Hawaii at Manoa
216,Michael Kimmitt,QUALITY4.645 ratings,Economics,N/A,University of Hawaii at Manoa
217,Krisna Suryanata,QUALITY3.536 ratings,Geography,50%,University of Hawaii at Manoa
218,Tia Ballantine,QUALITY4.417 ratings,English,N/A,University of Hawaii at Manoa
219,David Tholen,QUALITY3.112 ratings,Physics,100%,University of Hawaii at Manoa
220,David Bangert,QUALITY3.53 ratings,Management,N/A,University of Hawaii at Manoa
221,Robert Doktor,QUALITY4.08 ratings,Management,0%,University of Hawaii at Manoa
222,Hugh Folk,QUALITY3.55 ratings,Management,N/A,University of Hawaii at Manoa
223,James Richardson,QUALITY3.320 ratings,Management,34%,University of Hawaii at Manoa
224,Robert Robinson,QUALITY4.04 ratings,Management,N/A,University of Hawaii at Manoa
225,Julian Bukalski,QUALITY4.88 ratings,English,N/A,University of Hawaii at Manoa
226,Elaine Heiby,QUALITY3.235 ratings,Psychology,N/A,University of Hawaii at Manoa
227,George Csordas,QUALITY2.827 ratings,Mathematics,N/A,University of Hawaii at Manoa
228,Kathy Phillips,QUALITY3.624 ratings,English,N/A,University of Hawaii at Manoa
229,Richard Lessa,QUALITY4.06 ratings,English,N/A,University of Hawaii at Manoa
230,Song Jiang,QUALITY3.712 ratings,Chinese,0%,University of Hawaii at Manoa
231,Robert Joseph,QUALITY4.420 ratings,Astronomy,N/A,University of Hawaii at Manoa
232,Leonard Andaya,QUALITY3.514 ratings,History,100%,University of Hawaii at Manoa
233,Eric Dodson,QUALITY4.436 ratings,Physics,N/A,University of Hawaii at Manoa
234,Robert Hatanaka,QUALITY2.723 ratings,Accounting,N/A,University of Hawaii at Manoa
235,John Charlot,QUALITY4.111 ratings,Religion,N/A,University of Hawaii at Manoa
236,Frederick Lau,QUALITY4.73 ratings,Music,100%,University of Hawaii at Manoa
237,David Stannard,QUALITY4.611 ratings,American Studies,100%,University of Hawaii at Manoa
238,Mari Yoshihara,QUALITY3.87 ratings,American Studies,100%,University of Hawaii at Manoa
239,Malia Kaaihue,QUALITY4.73 ratings,Ethnic Studies,N/A,University of Hawaii at Manoa
240,Noenoe Silva,QUALITY4.47 ratings,Political Science,100%,University of Hawaii at Manoa
241,Ross Sutherland,QUALITY4.51 ratings,Geography,N/A,University of Hawaii at Manoa
242,Christine Yano,QUALITY4.018 ratings,Anthropology,75%,University of Hawaii at Manoa
243,Vail Matsumoto,QUALITY4.95 ratings,Education,N/A,University of Hawaii at Manoa
244,Wallace Napier,QUALITY4.44 ratings,Education,N/A,University of Hawaii at Manoa
245,Balinbin Rosela,QUALITY4.84 ratings,Education,100%,University of Hawaii at Manoa
246,Petrice Flowers,QUALITY2.413 ratings,Political Science,0%,University of Hawaii at Manoa
247,Fenny Cox,QUALITY2.211 ratings,Biology,N/A,University of Hawaii at Manoa
248,Yida Wang,QUALITY4.17 ratings,Fine Arts,N/A,University of Hawaii at Manoa
249,Roman Druker,QUALITY4.44 ratings,French,N/A,University of Hawaii at Manoa
250,Mary Tiles,QUALITY2.012 ratings,Philosophy,100%,University of Hawaii at Manoa
251,Matt McGranaghan,QUALITY3.214 ratings,Geography,N/A,University of Hawaii at Manoa
252,Brent Tully,QUALITY2.38 ratings,Science,N/A,University of Hawaii at Manoa
253,Andrew Arno,QUALITY3.315 ratings,Anthropology,N/A,University of Hawaii at Manoa
254,Heather Amick-Paulino,QUALITY4.15 ratings,Spanish,N/A,University of Hawaii at Manoa
255,Karl Minke,QUALITY3.154 ratings,Psychology,N/A,University of Hawaii at Manoa
256,David Falgout,QUALITY4.225 ratings,Religion,75%,University of Hawaii at Manoa
257,Sterling Keeley,QUALITY3.413 ratings,Botany,N/A,University of Hawaii at Manoa
258,Jim Caron,QUALITY4.223 ratings,Writing,N/A,University of Hawaii at Manoa
259,Fred Harris,QUALITY2.916 ratings,Physics,N/A,University of Hawaii at Manoa
260,Chef Leslie,QUALITY2.59 ratings,Hospitality,50%,University of Hawaii at Manoa
261,Judith Kellogg,QUALITY4.810 ratings,English,N/A,University of Hawaii at Manoa
262,Candace Fujikane,QUALITY4.638 ratings,English,100%,University of Hawaii at Manoa
263,Kuhio Vogeler,QUALITY4.513 ratings,Political Science,N/A,University of Hawaii at Manoa
264,Hildre Herrera,QUALITY4.86 ratings,Spanish,100%,University of Hawaii at Manoa
265,Tom Craven,QUALITY2.610 ratings,Mathematics,N/A,University of Hawaii at Manoa
266,Markus Wessendorf,QUALITY2.630 ratings,Theater,100%,University of Hawaii at Manoa
267,Chip Hughes,QUALITY4.010 ratings,English,N/A,University of Hawaii at Manoa
268,Poul Andersen,QUALITY2.318 ratings,Religion,N/A,University of Hawaii at Manoa
269,Stan Egi,QUALITY4.07 ratings,Theater,N/A,University of Hawaii at Manoa
270,Luke Alapaki,QUALITY4.619 ratings,Hawaiian Studies,N/A,University of Hawaii at Manoa
271,Diane Letoto,QUALITY3.89 ratings,Women's Studies,N/A,University of Hawaii at Manoa
272,Lee Sang-Hyop,QUALITY2.510 ratings,Economics,0%,University of Hawaii at Manoa
273,Paul Coleman,QUALITY4.319 ratings,Astronomy,100%,University of Hawaii at Manoa
274,Angela Price,QUALITY2.47 ratings,Theater,N/A,University of Hawaii at Manoa
275,Yeoun Varley,QUALITY4.417 ratings,Political Science,N/A,University of Hawaii at Manoa
276,Susan Hirate,QUALITY2.726 ratings,Japanese,0%,University of Hawaii at Manoa
277,Dennis T Ogawa,QUALITY4.341 ratings,Japanese,100%,University of Hawaii at Manoa
278,Nancy Cooper,QUALITY2.272 ratings,Anthropology,43%,University of Hawaii at Manoa
279,Rodney Morales,QUALITY4.417 ratings,English,100%,University of Hawaii at Manoa
280,Amy Takahashi,QUALITY4.19 ratings,Accounting,N/A,University of Hawaii at Manoa
281,Karen Hastings,QUALITY2.822 ratings,Food Science,N/A,University of Hawaii at Manoa
282,Termdham Sitthilert,QUALITY2.51 ratings,Economics,N/A,University of Hawaii at Manoa
283,Cheryl Matsumoto,QUALITY1.86 ratings,Accounting,N/A,University of Hawaii at Manoa
284,Steve Curry,QUALITY3.317 ratings,English,N/A,University of Hawaii at Manoa
285,Paul Lyons,QUALITY4.514 ratings,English,100%,University of Hawaii at Manoa
286,Mike Mottl,QUALITY4.414 ratings,Geology,100%,University of Hawaii at Manoa
287,Grieg Steward,QUALITY4.815 ratings,Oceanography,100%,University of Hawaii at Manoa
288,Andrew Pick,QUALITY5.02 ratings,Linguistics,100%,University of Hawaii at Manoa
289,Chantell Balaan,QUALITY4.02 ratings,Zoology,100%,University of Hawaii at Manoa
290,Tristan Holmes,QUALITY3.818 ratings,Mathematics,70%,University of Hawaii at Manoa
291,Sayed Bateni,QUALITY3.33 ratings,Engineering,50%,University of Hawaii at Manoa
292,Sladjana Prisic,QUALITY4.77 ratings,Microbiology,100%,University of Hawaii at Manoa
293,Heather Zezeck,QUALITY3.33 ratings,Psychology,67%,University of Hawaii at Manoa
294,Kim Corbin,QUALITY5.01 ratings,Education,100%,University of Hawaii at Manoa
295,Makena Coffman,QUALITY2.612 ratings,Economics,N/A,University of Hawaii at Manoa
296,Noelani Dabis-Tom,QUALITY5.06 ratings,Hawaiian Studies,N/A,University of Hawaii at Manoa
297,Thomas Hemscheidt,QUALITY3.649 ratings,Chemistry,55%,University of Hawaii at Manoa
298,Nancy Dowling,QUALITY2.715 ratings,Art History,N/A,University of Hawaii at Manoa
299,Nathan Chang,QUALITY5.02 ratings,Social Work,N/A,University of Hawaii at Manoa
300,Eric Harwit,QUALITY3.817 ratings,Asian Studies,100%,University of Hawaii at Manoa
301,Herbert Barringer,QUALITY2.910 ratings,Sociology,N/A,University of Hawaii at Manoa
302,David Yun,QUALITY1.79 ratings,Engineering,N/A,University of Hawaii at Manoa
303,Kahikina De Silva,QUALITY4.911 ratings,Hawaiian,100%,University of Hawaii at Manoa
304,Claire Hitosugi,QUALITY3.522 ratings,Japanese,38%,University of Hawaii at Manoa
305,Hiromi Kelley - Uchida,QUALITY4.824 ratings,Japanese,N/A,University of Hawaii at Manoa
306,Hsin-Yi Hsieh,QUALITY2.517 ratings,Chinese,100%,University of Hawaii at Manoa
307,Mooweon Rhee,QUALITY4.312 ratings,Business,N/A,University of Hawaii at Manoa
308,Bryan Davis,QUALITY0.00 ratings,Business,N/A,University of Hawaii at Manoa
309,Jose Fragoso,QUALITY1.32 ratings,Biology,N/A,University of Hawaii at Manoa
310,Thomas Gaarder,QUALITY3.815 ratings,Engineering,N/A,University of Hawaii at Manoa
311,Neil Gowensmith,QUALITY5.04 ratings,Psychology,N/A,University of Hawaii at Manoa
